"Address","Price","Square Footage","Beds/Baths","Open House","Status","Days On Market","Contruction Material","Year Build","Flooring","Heating","Listing Terms","Monthly Tax Value"
"331 Ravine Avenue Rochester Rochester NY 14613","119900.0","2292.0","4.0/2.0","","Active","11","VinylSiding","1890.0","Hardwood,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional,Fha,VaLoan","254.58333333333334"
"17 Cottage Street Rochester Rochester NY 14608","115000.0","1669.0","4.0/2.0","","Active","10","VinylSiding","1900.0","Carpet,Hardwood,Varies","Gas,HotWater","Cash,Conventional,Fha","264.6666666666667"
"1119 N Goodman Street Rochester Rochester NY 14609","99000.0","1385.0","4.0/2.0","","Active","6","AluminumSiding,SteelSiding,VinylSiding","1920.0","Hardwood,Varies","Gas,ForcedAir","Cash,Conventional","235.58333333333334"
"359 Magnolia Street Rochester Rochester NY 14611","95000.0","1956.0","6.0/2.0","","Active","8","AluminumSiding,SteelSiding,VinylSiding,CopperPlumbing,PexPlumbing","1880.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional","164.25"
"290 Avenue D Avenue Rochester Rochester NY 14621","89900.0","1878.0","6.0/2.0","","Active","2","AluminumSiding,SteelSiding,VinylSiding","1910.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional,Fha","209.83333333333334"
"1361 Dewey Avenue Rochester Rochester NY 14613","89900.0","1768.0","4.0/2.0","2024-07-20 | 2024-07-20T13:00:00.000-04:00 | 2024-07-20T12:00:00.000-04:00","Active","11","VinylSiding","1910.0","Carpet,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional","254.5"
"130 Weyl St null Rochester Rochester NY 14621","87500.0","2016.0","4.0/2.0","","Active","13","VinylSiding","1900.0","Laminate,Varies,Vinyl","Gas,ForcedAir","Cash,Conventional","254.16666666666666"
"98 Avenue A null Rochester Rochester NY 14621","84900.0","2136.0","6.0/2.0","2024-07-19 | 2024-07-19T12:00:00.000-04:00 | 2024-07-19T11:00:00.000-04:00","Active","6","VinylSiding","1920.0","Hardwood,Tile,Varies","Gas,ForcedAir","Cash,Conventional","250.25"
"137 Cameron Street Rochester Rochester NY 14606","74900.0","1732.0","4.0/2.0","","Active","9","VinylSiding","1890.0","Carpet,Laminate,Varies","Gas,ForcedAir","Cash,Conventional","196.16666666666666"
"67 Avenue D null Rochester Rochester NY 14621","24900.0","2220.0","5.0/2.0","","Active","3","CompositeSiding","1890.0","Hardwood,LuxuryVinyl,Varies","Gas,ForcedAir","Cash,Conventional,PrivateFinancingAvailable","198.91666666666666"
